2024-09-25 09:05:53.829 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 3188 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-25 09:05:53.835 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-25 09:05:53.879 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-25 09:05:53.879 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-25 09:05:54.765 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-25 09:05:54.775 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-09-25 09:05:54.778 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-25 09:05:54.778 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-25 09:05:54.831 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-25 09:05:54.831 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 950 ms
2024-09-25 09:05:55.196 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-25 09:05:55.208 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-09-25 09:05:55.230 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-25 09:05:55.238 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 1.986 seconds (process running for 2.661)
2024-09-25 09:18:13.914 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-25 09:18:13.915 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-25 09:18:13.915 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 0 ms
2024-09-25 09:39:44.187 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 2384 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-25 09:39:44.189 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-25 09:39:44.233 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-25 09:39:44.233 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-25 09:39:45.106 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-25 09:39:45.116 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-09-25 09:39:45.119 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-25 09:39:45.119 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-25 09:39:45.176 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-25 09:39:45.177 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 944 ms
2024-09-25 09:39:45.543 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-25 09:39:45.558 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-09-25 09:39:45.582 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-25 09:39:45.590 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 1.953 seconds (process running for 2.671)
2024-09-25 09:40:40.657 INFO  [File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 11 class path changes (0 additions, 11 deletions, 0 modifications)
2024-09-25 09:40:40.662 INFO  [Thread-5] org.apache.coyote.http11.Http11NioProtocol : Stopping ProtocolHandler ["http-nio-8080"]
2024-09-25 09:40:54.474 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 2384 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-25 09:40:54.474 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-25 09:40:54.683 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-25 09:40:54.684 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-25 09:40:54.685 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-25 09:40:54.722 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-25 09:40:54.722 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 246 ms
2024-09-25 09:40:54.811 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-25 09:40:54.825 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-25 09:40:54.828 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 0.394 seconds (process running for 71.91)
2024-09-25 09:40:54.830 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-09-25 09:40:56.260 INFO  [File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 6 class path changes (6 additions, 0 deletions, 0 modifications)
2024-09-25 09:40:56.872 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 2384 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-25 09:40:56.872 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-25 09:40:57.042 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-25 09:40:57.043 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-25 09:40:57.043 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-25 09:40:57.079 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-25 09:40:57.080 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 206 ms
2024-09-25 09:40:57.157 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-25 09:40:57.170 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-25 09:40:57.175 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 0.336 seconds (process running for 74.256)
2024-09-25 09:40:57.176 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
