2024-09-15 10:16:28.961 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 23892 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-15 10:16:28.968 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-15 10:16:29.005 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-15 10:16:29.005 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-15 10:16:29.755 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-15 10:16:29.769 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-15 10:16:29.769 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-15 10:16:29.819 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-15 10:16:29.820 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 814 ms
2024-09-15 10:16:30.154 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-15 10:16:30.182 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-15 10:16:30.188 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 1.611 seconds (process running for 2.271)
2024-09-15 10:16:41.536 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-15 10:16:41.536 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-15 10:16:41.537 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2024-09-15 10:38:12.253 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Starting Application using Java 17.0.12 with PID 3436 (D:\Downloads\houduan\qiyehd2.0\spring-boot-practice\spring-boot-thymeleaf\target\classes started by 12862 in D:\Downloads\houduan\qiyehd2.0\spring-boot-practice)
2024-09-15 10:38:12.255 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-15 10:38:12.291 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-15 10:38:12.291 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-15 10:38:12.919 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-15 10:38:12.932 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-15 10:38:12.932 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-15 10:38:12.973 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-15 10:38:12.973 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 681 ms
2024-09-15 10:38:13.231 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-15 10:38:13.264 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-15 10:38:13.273 INFO  [restartedMain] top.xym.springboot.thymeleaf.Application : Started Application in 1.35 seconds (process running for 1.881)
2024-09-15 10:44:08.148 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-15 10:44:08.148 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-15 10:44:08.149 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
